age,age_group,gender,item_purchased,category,purchase_amount_(usd),location,colour,season,review_rating,subscription_status,shipping_type,discount_applied,promo_code_used,previous_purchases,payment_method,frequency_of_purchases
61,Pre-Retirement,Male,Boots,Footwear,49,North Dakota,Silver,Fall,2.7,Yes,Free Shipping,Yes,Yes,44,Cash,Every 3 Months
24,Gen Z,Male,Blouse,Clothing,100,Oregon,Beige,Fall,2.9,Yes,Next Day Air,Yes,Yes,16,Venmo,Every 3 Months
19,Gen Z,Male,Belt,Accessories,54,Minnesota,Blue,Summer,4.4,Yes,2-Day Shipping,Yes,Yes,17,Bank Transfer,Quarterly
51,Gen X Late,Male,Sunglasses,Accessories,84,South Carolina,White,Spring,3.9,Yes,Free Shipping,Yes,Yes,20,Debit Card,Quarterly
36,Gen X Early,Male,Shorts,Clothing,41,Vermont,Gold,Winter,3.5,Yes,Standard,Yes,Yes,50,Bank Transfer,Annually
65,Seniors,Male,Gloves,Accessories,88,Minnesota,Blue,Spring,2.5,Yes,Store Pickup,Yes,Yes,37,Cash,Quarterly
46,Gen X Late,Male,Sandals,Footwear,40,Delaware,Orange,Spring,4.9,Yes,Express,Yes,Yes,5,PayPal,Quarterly
59,Pre-Retirement,Male,Shirt,Clothing,39,Pennsylvania,Gold,Summer,4.8,Yes,Free Shipping,Yes,Yes,44,PayPal,Annually
51,Gen X Late,Male,Coat,Outerwear,37,Iowa,Cyan,Spring,3.2,Yes,Next Day Air,Yes,Yes,41,Debit Card,Monthly
51,Gen X Late,Male,Pants,Clothing,52,New Jersey,Red,Winter,4.9,Yes,Standard,Yes,Yes,19,Cash,Monthly
21,Gen Z,Male,T-shirt,Clothing,23,South Carolina,Yellow,Winter,4.3,Yes,Next Day Air,Yes,Yes,47,Bank Transfer,Every 3 Months
34,Millennials,Male,Sneakers,Footwear,88,Maryland,Beige,Winter,3.2,Yes,Express,Yes,Yes,40,Cash,Annually
32,Millennials,Male,Shorts,Clothing,84,California,Orange,Fall,3.7,Yes,Standard,Yes,Yes,6,Credit Card,Monthly
48,Gen X Late,Male,Coat,Outerwear,37,Montana,Magenta,Winter,3.2,Yes,Store Pickup,Yes,Yes,25,Credit Card,Bi-Weekly
50,Gen X Late,Male,Sandals,Footwear,51,Vermont,Purple,Fall,3.4,Yes,Next Day Air,Yes,Yes,42,Cash,Weekly
26,Millennials,Male,Pants,Clothing,76,Texas,Black,Winter,4.1,Yes,Express,Yes,Yes,35,Bank Transfer,Every 3 Months
57,Pre-Retirement,Male,Sandals,Footwear,60,North Carolina,Pink,Spring,4.5,Yes,Next Day Air,Yes,Yes,17,Debit Card,Weekly
65,Seniors,Male,Gloves,Accessories,72,Florida,Pink,Fall,4.5,Yes,Next Day Air,Yes,Yes,4,PayPal,Quarterly
56,Pre-Retirement,Male,T-shirt,Clothing,45,West Virginia,Maroon,Spring,3.2,Yes,Free Shipping,Yes,Yes,24,Bank Transfer,Weekly
44,Gen X Early,Male,Jacket,Outerwear,84,Illinois,Maroon,Fall,4.4,Yes,Store Pickup,Yes,Yes,16,Debit Card,Every 3 Months
50,Gen X Late,Male,Blouse,Clothing,49,Virginia,Turquoise,Summer,3.0,Yes,Store Pickup,Yes,Yes,14,Debit Card,Annually
27,Millennials,Male,Socks,Clothing,22,Virginia,Green,Spring,3.2,Yes,Free Shipping,Yes,Yes,43,Cash,Weekly
49,Gen X Late,Male,Coat,Outerwear,48,Wyoming,Violet,Winter,4.0,Yes,Store Pickup,Yes,Yes,49,Debit Card,Weekly
49,Gen X Late,Male,Dress,Clothing,37,South Carolina,Lavender,Spring,3.1,Yes,Next Day Air,Yes,Yes,33,Cash,Every 3 Months
52,Gen X Late,Male,Jacket,Outerwear,27,Connecticut,Gray,Fall,2.8,Yes,Next Day Air,Yes,Yes,45,Cash,Bi-Weekly
27,Millennials,Male,Boots,Footwear,79,Illinois,Teal,Spring,4.6,Yes,Next Day Air,Yes,Yes,35,Cash,Bi-Weekly
53,Gen X Late,Male,Skirt,Clothing,98,Alabama,Red,Spring,4.3,Yes,Express,Yes,Yes,11,Credit Card,Monthly
34,Millennials,Male,Sandals,Footwear,64,Washington,Yellow,Summer,3.3,Yes,Standard,Yes,Yes,30,Bank Transfer,Every 3 Months
33,Millennials,Male,Coat,Outerwear,32,Alabama,Magenta,Summer,3.5,Yes,2-Day Shipping,Yes,Yes,48,Debit Card,Annually
62,Pre-Retirement,Male,Hoodie,Clothing,74,New Mexico,Brown,Winter,3.4,Yes,Free Shipping,Yes,Yes,45,Venmo,Bi-Weekly
38,Gen X Early,Male,Jacket,Outerwear,50,Nevada,Blue,Winter,2.8,Yes,Free Shipping,Yes,Yes,26,Venmo,Weekly
36,Gen X Early,Male,Backpack,Accessories,64,Nebraska,Black,Winter,4.6,Yes,Store Pickup,Yes,Yes,41,Debit Card,Every 3 Months
31,Millennials,Male,Backpack,Accessories,29,Arizona,Olive,Fall,3.6,Yes,Express,Yes,Yes,37,Venmo,Bi-Weekly
62,Pre-Retirement,Male,Belt,Accessories,62,Georgia,Olive,Summer,3.3,Yes,Store Pickup,Yes,Yes,12,PayPal,Weekly
29,Millennials,Male,Coat,Outerwear,78,Idaho,Green,Fall,3.1,Yes,2-Day Shipping,Yes,Yes,27,Cash,Bi-Weekly
24,Gen Z,Male,T-shirt,Clothing,94,Missouri,Peach,Fall,3.5,Yes,Express,Yes,Yes,18,Bank Transfer,Weekly
63,Pre-Retirement,Male,Sunglasses,Accessories,59,Florida,White,Winter,3.2,Yes,Express,Yes,Yes,15,Credit Card,Quarterly
56,Pre-Retirement,Male,Sneakers,Footwear,47,Minnesota,Red,Summer,3.0,Yes,Express,Yes,Yes,34,Bank Transfer,Weekly
63,Pre-Retirement,Male,Gloves,Accessories,57,Maine,White,Fall,4.8,Yes,Express,Yes,Yes,37,Venmo,Annually
40,Gen X Early,Male,Coat,Outerwear,90,Montana,Indigo,Winter,5.0,Yes,Store Pickup,Yes,Yes,21,Cash,Bi-Weekly
18,Gen Z,Male,Shirt,Clothing,60,Alaska,White,Spring,2.9,Yes,Free Shipping,Yes,Yes,31,Debit Card,Weekly
50,Gen X Late,Male,Sneakers,Footwear,77,Iowa,Teal,Fall,3.2,Yes,Express,Yes,Yes,43,Debit Card,Every 3 Months
66,Seniors,Male,Scarf,Accessories,41,Arizona,Indigo,Fall,2.9,Yes,Store Pickup,Yes,Yes,22,Bank Transfer,Monthly
25,Millennials,Male,Jewelry,Accessories,48,Louisiana,Red,Fall,3.3,Yes,Free Shipping,Yes,Yes,12,Debit Card,Annually
65,Seniors,Male,Jacket,Outerwear,65,Alabama,Blue,Fall,2.6,Yes,Next Day Air,Yes,Yes,25,PayPal,Bi-Weekly
53,Gen X Late,Male,Jeans,Clothing,62,Missouri,Blue,Summer,3.5,Yes,Standard,Yes,Yes,40,Debit Card,Annually
61,Pre-Retirement,Male,Shoes,Footwear,99,Idaho,Black,Fall,4.4,Yes,Standard,Yes,Yes,16,Debit Card,Quarterly
67,Seniors,Male,Hoodie,Clothing,58,Florida,Olive,Winter,3.4,Yes,Next Day Air,Yes,Yes,30,Bank Transfer,Weekly
59,Pre-Retirement,Male,Backpack,Accessories,43,Idaho,Lavender,Fall,4.2,Yes,Store Pickup,Yes,Yes,10,Venmo,Weekly
55,Pre-Retirement,Male,Sneakers,Footwear,93,Alabama,Indigo,Spring,3.6,Yes,Store Pickup,Yes,Yes,1,Debit Card,Bi-Weekly
21,Gen Z,Male,Blouse,Clothing,50,New Hampshire,Red,Winter,3.0,Yes,Next Day Air,Yes,Yes,24,Venmo,Bi-Weekly
44,Gen X Early,Male,Pants,Clothing,88,Utah,Red,Summer,4.0,Yes,Free Shipping,Yes,Yes,36,PayPal,Monthly
65,Seniors,Male,Skirt,Clothing,33,Alabama,Pink,Fall,4.4,Yes,Express,Yes,Yes,46,Credit Card,Every 3 Months
65,Seniors,Male,T-shirt,Clothing,99,Iowa,Purple,Fall,4.1,Yes,Standard,Yes,Yes,20,Cash,Annually
54,Gen X Late,Male,Jacket,Outerwear,76,Kentucky,Cyan,Spring,3.6,Yes,Free Shipping,Yes,Yes,37,Venmo,Weekly
56,Pre-Retirement,Male,Scarf,Accessories,97,South Carolina,Cyan,Summer,4.6,Yes,Next Day Air,Yes,Yes,26,Bank Transfer,Annually
58,Pre-Retirement,Male,Pants,Clothing,68,California,Charcoal,Summer,3.2,Yes,2-Day Shipping,Yes,Yes,23,Credit Card,Bi-Weekly
54,Gen X Late,Male,Sneakers,Footwear,79,Maine,Red,Fall,4.8,Yes,Free Shipping,Yes,Yes,20,Bank Transfer,Bi-Weekly
58,Pre-Retirement,Male,Jeans,Clothing,86,Nebraska,Peach,Fall,4.8,Yes,Express,Yes,Yes,38,PayPal,Monthly
48,Gen X Late,Male,Hat,Accessories,68,Washington,Black,Winter,5.0,Yes,2-Day Shipping,Yes,Yes,5,Credit Card,Every 3 Months
19,Gen Z,Male,Skirt,Clothing,52,Alabama,Black,Fall,3.7,Yes,Store Pickup,Yes,Yes,41,Venmo,Annually
69,Seniors,Male,Sandals,Footwear,90,Maine,Purple,Fall,4.6,Yes,Next Day Air,Yes,Yes,22,Credit Card,Bi-Weekly
58,Pre-Retirement,Male,Sandals,Footwear,41,California,Violet,Winter,3.7,Yes,Free Shipping,Yes,Yes,48,Credit Card,Annually
49,Gen X Late,Male,Sweater,Clothing,80,Iowa,Orange,Spring,4.1,Yes,Free Shipping,Yes,Yes,10,PayPal,Weekly
32,Millennials,Male,Sweater,Clothing,100,Iowa,Charcoal,Winter,2.7,Yes,Store Pickup,Yes,Yes,12,Bank Transfer,Every 3 Months
40,Gen X Early,Male,Jacket,Outerwear,77,Colorado,Turquoise,Spring,4.9,Yes,Store Pickup,Yes,Yes,2,Bank Transfer,Quarterly
25,Millennials,Male,Shorts,Clothing,78,California,Yellow,Spring,4.0,Yes,Store Pickup,Yes,Yes,38,PayPal,Monthly
70,Seniors,Male,Socks,Clothing,94,Indiana,White,Spring,4.7,Yes,Free Shipping,Yes,Yes,20,Debit Card,Monthly
69,Seniors,Male,Socks,Clothing,23,South Carolina,Gray,Fall,2.8,Yes,Next Day Air,Yes,Yes,5,Cash,Every 3 Months
45,Gen X Late,Male,Hoodie,Clothing,20,Wisconsin,Blue,Winter,4.9,Yes,2-Day Shipping,Yes,Yes,9,Venmo,Annually
29,Millennials,Male,Socks,Clothing,86,Washington,Maroon,Fall,4.2,Yes,Express,Yes,Yes,48,Debit Card,Every 3 Months
47,Gen X Late,Male,Boots,Footwear,60,South Dakota,Violet,Fall,3.0,Yes,Standard,Yes,Yes,9,Debit Card,Quarterly
28,Millennials,Male,Shirt,Clothing,70,Minnesota,Orange,Fall,3.4,Yes,2-Day Shipping,Yes,Yes,40,PayPal,Annually
64,Pre-Retirement,Male,Belt,Accessories,39,Alaska,Turquoise,Fall,4.6,Yes,Standard,Yes,Yes,30,Venmo,Bi-Weekly
47,Gen X Late,Male,Backpack,Accessories,37,Kentucky,Olive,Fall,4.2,Yes,Store Pickup,Yes,Yes,6,Debit Card,Bi-Weekly
60,Pre-Retirement,Male,Boots,Footwear,29,North Dakota,Brown,Fall,3.2,Yes,Free Shipping,Yes,Yes,42,Venmo,Every 3 Months
67,Seniors,Male,Coat,Outerwear,35,Alaska,Green,Winter,4.4,Yes,Store Pickup,Yes,Yes,9,PayPal,Every 3 Months
35,Gen X Early,Male,Hoodie,Clothing,83,Oklahoma,Brown,Winter,2.5,Yes,Next Day Air,Yes,Yes,6,Debit Card,Monthly
30,Millennials,Male,Shoes,Footwear,77,Delaware,Silver,Summer,3.6,Yes,Next Day Air,Yes,Yes,47,PayPal,Quarterly
23,Gen Z,Male,Shoes,Footwear,37,Montana,White,Summer,4.5,Yes,Store Pickup,Yes,Yes,36,Venmo,Annually
70,Seniors,Male,Jewelry,Accessories,69,Alaska,Gold,Summer,3.4,Yes,Standard,Yes,Yes,19,Bank Transfer,Bi-Weekly
21,Gen Z,Male,Dress,Clothing,66,California,Green,Winter,3.2,Yes,2-Day Shipping,Yes,Yes,30,Cash,Every 3 Months
51,Gen X Late,Male,Boots,Footwear,26,Massachusetts,Teal,Spring,4.2,Yes,Standard,Yes,Yes,27,Debit Card,Every 3 Months
22,Gen Z,Male,Hat,Accessories,63,South Carolina,Charcoal,Spring,5.0,Yes,2-Day Shipping,Yes,Yes,25,Venmo,Monthly
32,Millennials,Male,Backpack,Accessories,38,West Virginia,Maroon,Summer,4.7,Yes,Store Pickup,Yes,Yes,5,Cash,Bi-Weekly
37,Gen X Early,Male,Shoes,Footwear,58,Oregon,Lavender,Summer,4.2,Yes,Next Day Air,Yes,Yes,10,Cash,Every 3 Months
31,Millennials,Male,Handbag,Accessories,46,Massachusetts,Green,Winter,3.4,Yes,2-Day Shipping,Yes,Yes,26,PayPal,Every 3 Months
44,Gen X Early,Male,Sunglasses,Accessories,92,West Virginia,Pink,Fall,4.4,Yes,Store Pickup,Yes,Yes,11,Credit Card,Every 3 Months
40,Gen X Early,Male,Hat,Accessories,32,California,Charcoal,Winter,4.2,Yes,Standard,Yes,Yes,17,Bank Transfer,Weekly
27,Millennials,Male,Scarf,Accessories,90,Colorado,Blue,Spring,4.5,Yes,Standard,Yes,Yes,44,PayPal,Monthly
47,Gen X Late,Male,Hoodie,Clothing,23,Indiana,Purple,Fall,2.8,Yes,Next Day Air,Yes,Yes,44,Cash,Monthly
41,Gen X Early,Male,Backpack,Accessories,25,Delaware,Gold,Fall,3.3,Yes,Next Day Air,Yes,Yes,21,Venmo,Every 3 Months
51,Gen X Late,Male,Sweater,Clothing,54,Ohio,Purple,Fall,4.6,Yes,Next Day Air,Yes,Yes,49,Credit Card,Bi-Weekly
53,Gen X Late,Male,Shorts,Clothing,72,Oklahoma,Charcoal,Summer,2.5,Yes,Free Shipping,Yes,Yes,27,Bank Transfer,Every 3 Months
43,Gen X Early,Male,Scarf,Accessories,33,California,Black,Winter,4.7,Yes,Store Pickup,Yes,Yes,19,Cash,Monthly
67,Seniors,Male,Hat,Accessories,43,New Hampshire,Lavender,Fall,4.6,Yes,Express,Yes,Yes,33,Credit Card,Quarterly
61,Pre-Retirement,Male,Coat,Outerwear,51,Pennsylvania,Lavender,Fall,2.6,Yes,Standard,Yes,Yes,46,Cash,Bi-Weekly
68,Seniors,Male,Jewelry,Accessories,85,Idaho,Lavender,Winter,4.0,Yes,Standard,Yes,Yes,21,Credit Card,Bi-Weekly
67,Seniors,Male,Sandals,Footwear,100,Maryland,Olive,Summer,2.6,Yes,Next Day Air,Yes,Yes,23,Venmo,Annually
29,Millennials,Male,Gloves,Accessories,72,Pennsylvania,Teal,Spring,4.6,Yes,Free Shipping,Yes,Yes,38,Credit Card,Every 3 Months
50,Gen X Late,Male,Backpack,Accessories,57,Colorado,Maroon,Fall,2.6,Yes,Standard,Yes,Yes,2,Bank Transfer,Quarterly
61,Pre-Retirement,Male,Jacket,Outerwear,94,Indiana,Cyan,Spring,4.0,Yes,Express,Yes,Yes,21,Debit Card,Bi-Weekly
19,Gen Z,Male,Backpack,Accessories,34,Nebraska,Charcoal,Summer,4.6,Yes,Store Pickup,Yes,Yes,1,Debit Card,Every 3 Months
33,Millennials,Male,Backpack,Accessories,89,Rhode Island,Black,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,10,Venmo,Every 3 Months
51,Gen X Late,Male,Sunglasses,Accessories,27,Kansas,Red,Fall,4.4,Yes,Store Pickup,Yes,Yes,45,Credit Card,Weekly
69,Seniors,Male,Socks,Clothing,63,Georgia,Peach,Spring,4.0,Yes,Next Day Air,Yes,Yes,44,Bank Transfer,Bi-Weekly
19,Gen Z,Male,Shoes,Footwear,70,Nevada,White,Fall,4.7,Yes,Standard,Yes,Yes,48,PayPal,Bi-Weekly
55,Pre-Retirement,Male,Pants,Clothing,87,South Carolina,Pink,Fall,3.4,Yes,Express,Yes,Yes,21,PayPal,Annually
49,Gen X Late,Male,Jewelry,Accessories,79,Delaware,Red,Fall,4.0,Yes,Next Day Air,Yes,Yes,1,Venmo,Weekly
31,Millennials,Male,Sunglasses,Accessories,79,New Hampshire,Indigo,Spring,3.9,Yes,Standard,Yes,Yes,10,Venmo,Annually
42,Gen X Early,Male,Sandals,Footwear,44,Oregon,Black,Winter,4.1,Yes,Express,Yes,Yes,24,PayPal,Monthly
69,Seniors,Male,Sweater,Clothing,85,Massachusetts,White,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,29,Credit Card,Monthly
26,Millennials,Male,Shoes,Footwear,90,Vermont,Beige,Spring,4.7,Yes,Standard,Yes,Yes,11,Debit Card,Annually
41,Gen X Early,Male,Jewelry,Accessories,94,Mississippi,Silver,Fall,4.3,Yes,2-Day Shipping,Yes,Yes,33,Debit Card,Annually
55,Pre-Retirement,Male,Boots,Footwear,68,Washington,Violet,Summer,4.1,Yes,Store Pickup,Yes,Yes,27,Cash,Bi-Weekly
35,Gen X Early,Male,Backpack,Accessories,51,Wyoming,Red,Winter,3.9,Yes,Next Day Air,Yes,Yes,19,Venmo,Bi-Weekly
66,Seniors,Male,Sandals,Footwear,33,Minnesota,Orange,Spring,2.9,Yes,Express,Yes,Yes,50,Debit Card,Quarterly
36,Gen X Early,Male,Sneakers,Footwear,60,Ohio,Teal,Summer,3.9,Yes,Standard,Yes,Yes,46,PayPal,Weekly
27,Millennials,Male,Hoodie,Clothing,59,South Carolina,Brown,Fall,4.3,Yes,2-Day Shipping,Yes,Yes,28,Cash,Quarterly
41,Gen X Early,Male,Handbag,Accessories,30,Wisconsin,Indigo,Summer,2.8,Yes,Store Pickup,Yes,Yes,14,Bank Transfer,Every 3 Months
21,Gen Z,Male,Sweater,Clothing,20,Tennessee,Cyan,Winter,3.4,Yes,2-Day Shipping,Yes,Yes,46,Cash,Bi-Weekly
53,Gen X Late,Male,Sandals,Footwear,20,Maryland,Blue,Summer,2.7,Yes,Express,Yes,Yes,41,PayPal,Monthly
54,Gen X Late,Male,Dress,Clothing,24,Mississippi,Olive,Spring,4.0,Yes,2-Day Shipping,Yes,Yes,50,Credit Card,Annually
53,Gen X Late,Male,Skirt,Clothing,88,Minnesota,Gray,Summer,4.4,Yes,Store Pickup,Yes,Yes,28,Debit Card,Bi-Weekly
47,Gen X Late,Male,Blouse,Clothing,78,Alaska,Red,Winter,3.9,Yes,2-Day Shipping,Yes,Yes,23,Credit Card,Every 3 Months
64,Pre-Retirement,Male,Skirt,Clothing,25,Arkansas,Red,Spring,2.8,Yes,2-Day Shipping,Yes,Yes,14,Debit Card,Bi-Weekly
18,Gen Z,Male,Sweater,Clothing,57,Oregon,Green,Winter,3.2,Yes,Next Day Air,Yes,Yes,10,Bank Transfer,Every 3 Months
68,Seniors,Male,Backpack,Accessories,93,Louisiana,Blue,Summer,4.3,Yes,Next Day Air,Yes,Yes,37,Cash,Weekly
62,Pre-Retirement,Male,Hoodie,Clothing,42,Oklahoma,Purple,Summer,4.2,Yes,Express,Yes,Yes,15,Venmo,Bi-Weekly
51,Gen X Late,Male,Boots,Footwear,54,Indiana,Pink,Spring,4.9,Yes,Standard,Yes,Yes,19,Venmo,Bi-Weekly
54,Gen X Late,Male,Blouse,Clothing,70,Mississippi,Charcoal,Summer,3.7,Yes,Express,Yes,Yes,23,Credit Card,Bi-Weekly
22,Gen Z,Male,Hoodie,Clothing,31,Michigan,Brown,Winter,4.1,Yes,Store Pickup,Yes,Yes,35,Credit Card,Weekly
53,Gen X Late,Male,Pants,Clothing,93,Delaware,Orange,Spring,4.2,Yes,Store Pickup,Yes,Yes,33,PayPal,Every 3 Months
34,Millennials,Male,Gloves,Accessories,40,Florida,Magenta,Spring,3.9,Yes,Next Day Air,Yes,Yes,12,Bank Transfer,Annually
32,Millennials,Male,Hat,Accessories,32,Arkansas,Yellow,Summer,2.9,Yes,Next Day Air,Yes,Yes,41,Venmo,Bi-Weekly
64,Pre-Retirement,Male,Sunglasses,Accessories,27,Minnesota,Beige,Winter,3.1,Yes,Free Shipping,Yes,Yes,27,Venmo,Weekly
20,Gen Z,Male,Scarf,Accessories,68,North Dakota,Olive,Winter,3.6,Yes,2-Day Shipping,Yes,Yes,45,Cash,Bi-Weekly
24,Gen Z,Male,Handbag,Accessories,59,California,Gray,Summer,4.4,Yes,2-Day Shipping,Yes,Yes,23,Venmo,Annually
20,Gen Z,Male,Handbag,Accessories,36,Mississippi,Purple,Fall,3.1,Yes,Free Shipping,Yes,Yes,19,Venmo,Monthly
42,Gen X Early,Male,Jeans,Clothing,23,Pennsylvania,Beige,Summer,3.9,Yes,Standard,Yes,Yes,6,PayPal,Quarterly
48,Gen X Late,Male,Jacket,Outerwear,80,Arizona,White,Winter,4.3,Yes,Free Shipping,Yes,Yes,6,PayPal,Quarterly
62,Pre-Retirement,Male,Backpack,Accessories,37,Louisiana,White,Fall,4.9,Yes,Store Pickup,Yes,Yes,20,Venmo,Weekly
62,Pre-Retirement,Male,Shorts,Clothing,52,Virginia,Gold,Spring,3.6,Yes,2-Day Shipping,Yes,Yes,8,Cash,Weekly
50,Gen X Late,Male,Coat,Outerwear,79,Montana,Olive,Fall,5.0,Yes,2-Day Shipping,Yes,Yes,39,Credit Card,Quarterly
57,Pre-Retirement,Male,Shirt,Clothing,68,Iowa,Green,Fall,4.1,Yes,Store Pickup,Yes,Yes,39,Credit Card,Quarterly
24,Gen Z,Male,Gloves,Accessories,98,Illinois,Magenta,Fall,2.8,Yes,Express,Yes,Yes,39,Venmo,Bi-Weekly
59,Pre-Retirement,Male,Dress,Clothing,83,Alaska,Charcoal,Fall,4.7,Yes,Express,Yes,Yes,23,Credit Card,Monthly
63,Pre-Retirement,Male,Pants,Clothing,83,Colorado,Indigo,Winter,4.4,Yes,Express,Yes,Yes,41,PayPal,Bi-Weekly
41,Gen X Early,Male,Pants,Clothing,55,New Mexico,Peach,Spring,4.9,Yes,2-Day Shipping,Yes,Yes,50,Credit Card,Annually
35,Gen X Early,Male,Hoodie,Clothing,26,Colorado,Turquoise,Winter,3.1,Yes,Free Shipping,Yes,Yes,30,Debit Card,Quarterly
34,Millennials,Male,Sunglasses,Accessories,76,Arizona,Blue,Winter,2.6,Yes,Standard,Yes,Yes,32,Bank Transfer,Quarterly
49,Gen X Late,Male,T-shirt,Clothing,85,Hawaii,Turquoise,Fall,2.9,Yes,Express,Yes,Yes,35,Bank Transfer,Monthly
43,Gen X Early,Male,Jacket,Outerwear,89,Illinois,Gray,Spring,3.3,Yes,Free Shipping,Yes,Yes,45,Venmo,Bi-Weekly
63,Pre-Retirement,Male,Sweater,Clothing,41,Louisiana,Purple,Spring,4.8,Yes,Next Day Air,Yes,Yes,37,Cash,Bi-Weekly
38,Gen X Early,Male,Jacket,Outerwear,30,Iowa,Black,Winter,4.7,Yes,Express,Yes,Yes,45,Cash,Weekly
59,Pre-Retirement,Male,Socks,Clothing,53,Washington,Peach,Winter,3.3,Yes,2-Day Shipping,Yes,Yes,29,Cash,Quarterly
35,Gen X Early,Male,Shirt,Clothing,66,Oklahoma,Indigo,Spring,4.2,Yes,Free Shipping,Yes,Yes,27,Venmo,Bi-Weekly
48,Gen X Late,Male,Jewelry,Accessories,33,Washington,Beige,Winter,4.7,Yes,Store Pickup,Yes,Yes,36,Bank Transfer,Annually
64,Pre-Retirement,Male,Sunglasses,Accessories,86,Arkansas,Yellow,Spring,2.6,Yes,2-Day Shipping,Yes,Yes,9,Cash,Annually
28,Millennials,Male,Pants,Clothing,60,Connecticut,Peach,Winter,2.9,Yes,2-Day Shipping,Yes,Yes,38,Venmo,Bi-Weekly
60,Pre-Retirement,Male,Socks,Clothing,62,Washington,Turquoise,Summer,2.7,Yes,Express,Yes,Yes,41,PayPal,Annually
27,Millennials,Male,Blouse,Clothing,74,Maine,Teal,Fall,3.3,Yes,Store Pickup,Yes,Yes,25,Debit Card,Every 3 Months
56,Pre-Retirement,Male,Sandals,Footwear,95,Michigan,Turquoise,Fall,3.4,Yes,Express,Yes,Yes,37,Venmo,Bi-Weekly
58,Pre-Retirement,Male,Sneakers,Footwear,25,Tennessee,Magenta,Spring,4.2,Yes,Express,Yes,Yes,3,PayPal,Annually
30,Millennials,Male,Shirt,Clothing,59,Louisiana,Purple,Winter,3.8,Yes,2-Day Shipping,Yes,Yes,24,Credit Card,Every 3 Months
23,Gen Z,Male,Jacket,Outerwear,29,Missouri,Brown,Summer,4.0,Yes,Standard,Yes,Yes,49,Credit Card,Bi-Weekly
33,Millennials,Male,Sandals,Footwear,36,Michigan,Violet,Winter,2.7,Yes,Free Shipping,Yes,Yes,3,Bank Transfer,Monthly
63,Pre-Retirement,Male,Hat,Accessories,82,Alabama,Yellow,Summer,4.7,Yes,Express,Yes,Yes,42,Debit Card,Monthly
70,Seniors,Male,Blouse,Clothing,71,Massachusetts,Magenta,Winter,3.5,Yes,Standard,Yes,Yes,32,Cash,Bi-Weekly
70,Seniors,Male,Sweater,Clothing,35,Indiana,Beige,Fall,3.0,Yes,2-Day Shipping,Yes,Yes,33,Venmo,Bi-Weekly
19,Gen Z,Male,Gloves,Accessories,38,West Virginia,Turquoise,Winter,3.3,Yes,Free Shipping,Yes,Yes,46,Bank Transfer,Quarterly
25,Millennials,Male,Scarf,Accessories,59,Michigan,Peach,Summer,4.7,Yes,Store Pickup,Yes,Yes,44,Venmo,Monthly
19,Gen Z,Male,Hoodie,Clothing,91,Pennsylvania,Orange,Summer,4.7,Yes,Express,Yes,Yes,35,Credit Card,Every 3 Months
25,Millennials,Male,Shorts,Clothing,68,Alaska,Red,Spring,4.8,Yes,Standard,Yes,Yes,45,Bank Transfer,Weekly
60,Pre-Retirement,Male,Backpack,Accessories,21,Massachusetts,Silver,Summer,2.9,Yes,Standard,Yes,Yes,37,PayPal,Bi-Weekly
35,Gen X Early,Male,Sunglasses,Accessories,95,North Dakota,Cyan,Spring,4.0,Yes,2-Day Shipping,Yes,Yes,40,Debit Card,Every 3 Months
46,Gen X Late,Male,Shorts,Clothing,52,Vermont,Turquoise,Spring,3.1,Yes,Free Shipping,Yes,Yes,30,Cash,Every 3 Months
41,Gen X Early,Male,Dress,Clothing,21,Kentucky,Charcoal,Fall,3.5,Yes,2-Day Shipping,Yes,Yes,38,Venmo,Every 3 Months
30,Millennials,Male,Shorts,Clothing,67,Nevada,Peach,Summer,3.7,Yes,Next Day Air,Yes,Yes,15,Debit Card,Every 3 Months
44,Gen X Early,Male,Belt,Accessories,42,Utah,Green,Fall,2.8,Yes,Standard,Yes,Yes,49,Cash,Monthly
61,Pre-Retirement,Male,Scarf,Accessories,63,North Dakota,Brown,Summer,4.6,Yes,Free Shipping,Yes,Yes,40,Debit Card,Quarterly
55,Pre-Retirement,Male,Boots,Footwear,41,Iowa,Yellow,Winter,3.8,Yes,Standard,Yes,Yes,40,Debit Card,Weekly
50,Gen X Late,Male,Handbag,Accessories,46,Connecticut,Charcoal,Fall,2.6,Yes,2-Day Shipping,Yes,Yes,5,PayPal,Weekly
57,Pre-Retirement,Male,Pants,Clothing,79,Wisconsin,Olive,Winter,4.1,Yes,Standard,Yes,Yes,5,PayPal,Monthly
51,Gen X Late,Male,Boots,Footwear,90,Idaho,Red,Fall,3.3,Yes,Next Day Air,Yes,Yes,5,Debit Card,Every 3 Months
18,Gen Z,Male,Shirt,Clothing,71,Montana,White,Winter,3.4,Yes,Store Pickup,Yes,Yes,1,Cash,Weekly
63,Pre-Retirement,Male,Dress,Clothing,87,Connecticut,Pink,Summer,3.0,Yes,Standard,Yes,Yes,21,Venmo,Weekly
34,Millennials,Male,Hoodie,Clothing,66,Idaho,Black,Spring,3.2,Yes,Express,Yes,Yes,18,PayPal,Annually
25,Millennials,Male,Pants,Clothing,90,Arkansas,Indigo,Summer,4.5,Yes,Free Shipping,Yes,Yes,49,Cash,Quarterly
